id,카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명,가격원,이미지파일
56b7c63a6078b6e5c0224c41b2ee09515aab0cd507e4efccdb482efa97c538e4,청소기,다이슨 청소기,다이슨 무선청소기 배터리 (재활용) 구리,거래중,"21,000원",공릉1동,2026-08-04,2,5,115,99℃,버즈,생활가전,,,,노원구/images/56b7c63a6078b6e5c0224c41b2ee09515aab0cd507e4efccdb482efa97c538e4.png
0b95f31c9694e87bad07e4accb05d504e9197caccd3f6a6d580fa2a8cba06b3a,청소기,다이슨 청소기,다이슨 무선청소기 충전기 구리,거래중,"11,000원",공릉1동,2026-09-03,1,2,18,99℃,버즈,생활가전,,,,노원구/images/0b95f31c9694e87bad07e4accb05d504e9197caccd3f6a6d580fa2a8cba06b3a.png
0cd6b11afacefaddd534ae08a9d34659e3a33ca387ca7819a221808d5a31b140,청소기,다이슨 청소기,다이슨 V8 무선청소기,거래중,"120,000원",상계동,2026-09-01,1,6,101,41.1℃,바다,생활가전,직거래는 상계/도봉/장암,"다이슨 V8무선청소기 입니다
분해해서 각종툴과 같이 세척건조시킨상태입니다
흡입력 좋고 외관상태 좋습니다
소프트롤/카페트롤/침구롤
별소음없이 작동 잘됩니다
배터리는 40분 가까이 작동됨
구성은 검정 철제스텐드/본체
충전아답터/충전데크/각종 툴
가격흥정 불가
직거래는 상계/도봉/장암
문의는 칠칠삼공-칠사공칠

",,노원구/images/0cd6b11afacefaddd534ae08a9d34659e3a33ca387ca7819a221808d5a31b140.png
aa50f030e70f43c2908e12b208228a7c626f22095fa5982bd220f922ff01b1c6,청소기,다이슨 청소기,다이슨 V15 오리진 플러피 무선 청소기,거래중,"314,000원",공릉1동,2026-04-06,1,10,667,45.3℃,뚱이,생활가전,,"기본 헤드가 없어요 따로 사서 쓰시면 되요
사용감 있습니다 가만하고 연락주세요~
쓰시는데 절대 문제 없습니다
청소도 다해놔서 가져가셔서 그냥 쓰시면 됩니다
충전 거치대도 같이드립니다",,노원구/images/aa50f030e70f43c2908e12b208228a7c626f22095fa5982bd220f922ff01b1c6.png
13ed7724decc4cf610ccf67ae52cd620e628108ccfc2e1544500faf80156ea82,청소기,다이슨 청소기,다이슨 V8 앱솔루트 무선 청소기,거래중,"45,000원",공릉1동,2026-08-04,7,22,1375,52.7℃,754,생활가전,,"다이슨 V8 앱솔루트 무선 청소기입니다. 
베터리 방전되어 호환 베터리/충전기로 교체하였습니다. 베터리 상태 양호합니다만 플러그 부분 함몰되어 수리 필요합니다. 

사진에서 보이는 모든 구성품 포함되어 있습니다

* 확인 *
- 마지막사진) 플러그 부분 함몰 수리필요
- 상단 깨짐있음

👇확인하시고 매너있는 당근바랍니다. 😊

🥕중고 특성상 미쳐 파악하지 못한 손상이 있을 수 있습니다. 예민하신분은 패스해주세요. 
🥕현장에서 이런저런 사유로 네고 불가합니다. 
🥕구입 후 환불 불가합니다. 궁금한 사항은 구입 전 꼭 확인 바랍니다.",,노원구/images/13ed7724decc4cf610ccf67ae52cd620e628108ccfc2e1544500faf80156ea82.png
3573fbc30f8c4a6f5228ca3b9b58bffbb56dcfd6fcc7925a1f39945eb1d584f2,청소기,다이슨 청소기,다이슨 V16 피스톤 애니멀 다이슨 청소기,거래중,"530,000원",공릉1동,2026-09-02,0,2,24,36.5℃,골목헤이즐넛케이크,생활가전,,"올해 7월경 구매했구
실제 사용은 5번정도 한거 같아요.
작은 방용으로 따로 구매했는데
실제로 거의 다른 청소기 + 로청이 있어서 쓰지않고
그냥 보관만 하게 되는거 같아서 팔아요.
네고는 불가합니다.
정품 등록해둔 상태라 보증 기간이 아마 3개월 빠진 2년 정도 그대로 남아있습니다.",,노원구/images/3573fbc30f8c4a6f5228ca3b9b58bffbb56dcfd6fcc7925a1f39945eb1d584f2.png
d7bb22a52ca38d76ee0c6cab076f2de6ba4578b881a88b19c220926214b4835e,청소기,다이슨 청소기,다이슨 무선 청소기 본체 및 구성품 충전기외 부속품 부품값으로 저렴하게 판매 합니다 도봉,거래중,"49,000원",공릉1동,2026-08-08,1,6,347,59.9℃,마리아,생활가전,,"다이슨 무선 청소기 본체와 다양한 구성품을 함께 드려요
사진에서 보이는 모든 구성품 포함되어 있습니다
다양한 툴로 집안 구석구석 깔끔하게 청소해보세요
강력한 흡입력으로 먼지 걱정 끝
청소의 신세계를 경험해보세요
일반모드로 15분전후 집안 청소가능 정도 밧데리 
이런관계로 저렴하게 당근 합니다 
구성품 
본체 연장봉 먼지흡입기3개 거치대겸충전기 드라이브 입니다 
사진그대로 
작동 잘 됍니다 
먼지통 필터 깨끗하게 닦아서 보관중 
출발시 예약으로 합니다 
서울특별시 창4동 ",,노원구/images/d7bb22a52ca38d76ee0c6cab076f2de6ba4578b881a88b19c220926214b4835e.png
ec13b1058c9a15dd8fff9cd08a561288cbc8ebfb8d902e216c973bbfe45fdec8,청소기,다이슨 청소기,"다이슨 V10 먼지통, 싸이클론",거래중,"11,000원",공릉1동,2026-08-30,0,5,233,94.3℃,캐드비오,생활가전,,"다이슨 V10 청소기 먼지통과 싸이클론 입니다.
싸이클론 한쪽이 사진처럼 파손되었습니다.
전체적으로 깨끗하지만 상태는 그리 좋은 편은 
아닙니다.
V10 싸이클론과 먼지통만 필요하신분께 추천 
드립니다.

구입 후 반품, 환불은 불가합니다.",,노원구/images/ec13b1058c9a15dd8fff9cd08a561288cbc8ebfb8d902e216c973bbfe45fdec8.png
4e9ecebacb7ac935a704f98e72497478233e25c10b419da66c8757ae77b22ed5,청소기,다이슨 청소기,다이슨 싸이클론 스틱청소기 V8,거래중,"310,000원",공릉1동,2026-08-15,1,4,132,61.1℃,코스코,생활가전,,,,노원구/images/4e9ecebacb7ac935a704f98e72497478233e25c10b419da66c8757ae77b22ed5.png
afb7b1dbe9a7be4d48adcba11c2815312e7c49bc84dc87140638a852a7e1ac5e,청소기,다이슨 청소기,다이슨 V10 카본파이버 무선청소기,거래중,"180,000원",공릉1동,2026-08-04,0,6,398,35.2℃,이웃집7,생활가전,,"다이슨 V10 카본파이버 무선청소기입니다
거치대 포함 구성으로 깔끔하게 보관 가능해요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
청소기 사용하시는 분들에게 정말 좋은 선택이 될 거예요",,노원구/images/afb7b1dbe9a7be4d48adcba11c2815312e7c49bc84dc87140638a852a7e1ac5e.png
