카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명
분유포트,브레짜 분유포트,새상품 베이비브레짜 젖병세척기 Pro 화이트 +추빨대키트2개+세제120정 팝니다 구로,거래완료,"310,000원",고척동,2026-07-31,2,17,411,45.5℃,중고거래,유아동,직거래는 고척아이파크몰 앞에서 가능합니다,"베이비브레짜 젖병세척기 Pro 새상품이에요
젖병 세척부터 건조까지 한 번에 해결해줘요

26년 1월에 구매 후 정품등록까지 완료한 상태입니다
단순 개봉한 상태로 사용하지 않아 판매합니다
포토구매후기는 아직 안했습니다

화이트 색상이라 유팡, 분유포트랑 같이 맘마존 화이트로 깔맞춤 가능해요 깔끔하고 예뻐요
(참고로 화이트가 블랙보다 2만원 더 비쌈)

구매 시
35,000원 정품 세제 120정이랑
17,800원 추빨대키트 2개도 함께 드립니다

구매하신 분 중 원하신다면 공홈에서 구매한 세제와 헤파필터도 저렴하게 팔 예정입니다

직거래는 고척아이파크몰 앞에서 가능합니다"
분유포트,브레짜 분유포트,보르르 분유포트 상태 최상 (25.7제조) 영등포 양평동5가,거래완료,"30,000원",,2026-06-01,4,3,56,57.4℃,미니먼,유아동,선유도역 인근 양평한신아파트에서 *문고리 거래*합니다.,"보르르 분유포트
2025년 7월 제조, 8월 공홈에서 9.5만원에 직접 구매한 상품입니다 (스샷 참조)
브레짜도 써봤는데 위생적으로는 이런 단순한 분유포트가 최고더라구요.

열심히 세척하고 구연산 소독까지 해두었습니다.
친정에 두고 낮에만 한두번 써서 정말 깨끗해요.
가열판, 포트 내부 미네랄 물때 하나도 없습니다.

박스랑 차거름망은 없습니다.

선유도역 인근 양평한신아파트에서 *문고리 거래*합니다.
에누리, 환불, 택배 문의 X"
분유포트,브레짜 분유포트,베이비 브레짜 젖병소독기 문래동6가,거래완료,"20,000원",,2026-05-02,1,3,96,43.5℃,사랑방선물,유아동,교환/환불은 어렵고 문고리 거래 희망합니다.,"베이비 브레짜 젖병 소독기 판매합니다 🍼
구입은 새제품으로 24년도에 했지만 사용횟수가 적어 전체적으로 깨끗한 편이고, 스팀 소독 + 건조 기능 모두 잘 작동됩니다.
분유포트 전용 세척 클리너로 깨끗하게 세척해 보관해두었고 바로 사용 가능해요.

✔ 작동 이상 없음
✔ 세척 완료
✔ 바로 사용 가능
✔ 젖병 / 쪽쪽이 / 치발기 소독 가능

📌젖병 지지대 총 6개이고 집게도 있습니다.

중고 특성상 예민하신 분은 피해주세요.
교환/환불은 어렵고 문고리 거래 희망합니다."
분유포트,브레짜 분유포트,[미개봉]베이비 브레짜 분유제조기 출수형 분유포트 화이트,거래완료,"240,000원",화곡동,2026-05-02,1,2,30,37.6℃,딩동,유아동,,"26년 4월에 선물받았습니다.
같은걸 두개받아서 한개는 판매합니다.
택배박스도 안뜯은 새제품입니다.
"
분유포트,브레짜 분유포트,베이비브레짜 젖병 살균건조기,거래완료,"190,000원",신길동,2025-12-03,1,1,222,,,,,
분유포트,브레짜 분유포트,아이닉 분유포트(출수형 주전자형 모두 가능) IEK01 박스있음 영등포,거래완료,"85,000원",도림동,2025-12-03,1,1,55,,,,,
분유포트,브레짜 분유포트,보르르 Boleuleu 분유포트,거래완료,"40,000원",신길제3동,2025-12-03,6,1,69,,,,,
분유포트,브레짜 분유포트,베이비브레짜 분유제조기 나눔 강서,나눔완료,무료나눔,등촌제2동,2025-12-03,1,0,90,42.3℃,과니,유아동,육아중이라 문고리거래 선호합니다.(등촌주공8단지아파트),"베이비브레짜 Formula Pro Advanced 분유제조기입니다
- 자동 분유 제조 기능으로 빠르고 편리하게 분유를 만들 수 있습니다
- 항상 일정한 농도로 분유를 제조해줍니다
- 밤중 수유 시 특히 유용합니다

당근에서 2만원정도 주고 구입했는데 한번도 쓰지않았네요 

전원들어오는거 확인하고, 사용하려고 닦기만하고 결국

사용 안했습니다. 와이프가 그냥 포트에 물넣고 만드는게 좋다고

해서요. 

깔데기는 2개고 박스채로 사진에보이는 구성 다있습니다.

이번주내에 나눔안되면 폐기할꺼라 가져가실분은 챗주세요!

육아중이라 문고리거래 선호합니다.(등촌주공8단지아파트)"
분유포트,브레짜 분유포트,베이비브레짜 분유포트(박스있어요) 강서,거래완료,"28,000원",염창동,2025-08-30,1,3,315,67℃,딩동댕동,유아동,문고리거래가능,"정품구매후 인증하고 사용했어요
재당근 아닙니당

깔대기1개
상태좋아요

문고리거래가능"
분유포트,브레짜 분유포트,꿈비 분유쉐이커 (24.03제조),거래완료,"20,000원",신길제5동,2025-11-03,4,0,104,67.4℃,체새봄,유아동,문고리 거래 합니다.,"직접 새상품 구매해서 당근 보낼 생각으로 깨끗하게 사용했습니다.

릴리브 분유포트(당근 올려놓음) 조합으로
출산 후 손목 무리없이, 분유 꿈비에 돌려놓고 아기 케어하면서 너무 잘썼고
조동들도 너무 좋다고 다 저 따라 샀었네요~

정말.. 브레짜보다 분유포트+쉐이커 조합이 설거지 거리도 안나오고 분유탈락도 없고 고장없이 최고인것 같아요!!

문고리 거래 합니다.

➡️ 24년생 아기 용품, 장난감, 옷 정리하고 있으니 구경해보세요~"
