카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명,가격원
청소기,다이슨 청소기,다이슨 청소기 옴니글라이드,거래중,"190,000원",문정1동,2026-08-30,0,0,3,59.4℃,정리중정리중정리중,생활가전,,"다이슨 청소기  옴니글라이드
*구입시기 확인 어려움
*무상AS기간 종료
*본체,헤드 기본세척 완료
*깨지거나 기능하자 없습니다
*배터리 시간(사진)
메인헤드 장착 작동 시간입니다
*구성품은 사진에있는게 전부에요
*흡입력 좋고, 헤드 이동이 편하고, 
가벼워서 좋아요
*차량실내 청소할때도 좋아요


*얼마에 주세요 , 네고 해주세요 
*전화주세요010-xxxx-xxxx
*안녕하세요 - 잠수
*팔렸나요? - 잠수 
왜 이러는건지  이유를 모르겠어요
답장 없이 차단합니다

",190000
청소기,다이슨 청소기,다이슨 V8 앱솔루트 내용확인하세요,거래중,"50,000원",문정1동,2026-08-30,0,8,800,92.8℃,바밤바48,,,,50000
청소기,다이슨 청소기,다이슨 V8 앱솔루트 무선청소기 풀세트 (툴/가방 포함),거래중,"75,000원",송파동,2026-08-11,17,22,523,37.6℃,당근이지,생활가전,,"다이슨 V8 앱솔루트 무선 청소기 풀세트입니다
청소기만 간단히 썼어서 다른툴은 새거에요
배터리는 교체해야합니다",75000
청소기,다이슨 청소기,"다이슨 V10 무선청소기 풀셋, 새배터리 +세척완",거래중,"165,000원",문정동,2026-08-22,3,17,177,51.1℃,민지,생활가전,,"모델명:다이슨 cycloneV10, 
             carbon fibre
구성품 : 본체, 충전거치대,
   물걸레헤드 및 패드 한쌍, 
   메인소프트롤러헤드, 침구
   헤드, 카펫/마루겸용 헤드,
   틈새브러쉬, 솔부러쉬 
-새로 배터리 교체후 미사용,
   실측해보니 일반모드에서
   56분 작동, 짱짱해요.
- 실사용 적어 상태 좋고
    본체, 먼지통, 필터, 헤드
    등 전부품 완전분해후   
    살균세척해놔 위생적이고
    먼지하나없이 깨끗해요.
- 별도구입한 물걸레헤드
    및 소프트롤러헤드 포함.
    
  
   ",165000
청소기,다이슨 청소기,다이슨 무선청소기 마이크로 1.5 (풀구성),거래중,"240,000원",문정1동,2026-08-22,1,6,353,59.1℃,달콤이,뷰티/미용,,"한달정도 사용했습니다
사용감은 조금있지만 사잔상처럼 깨끗해요
봉부분에 생활 스크레치있습니다
풀구성품 다있고 박스 설명서만 없어요
싸게올립니다 

다이슨 무선청소기 마이크로 1.5 모델이에요
플러피 클리너 헤드, 콤비-크레비스 툴, 스탠드형 충전 거치대, 충전기까지 모두 포함된 풀구성입니다
최대 25분 사용 가능하며 무게는 1.5kg으로 가벼워요
가벼운 청소를 선호하시는 분들께 추천드려요",240000
청소기,다이슨 청소기,다이슨 무선청소기 v8 (분해세척완료),거래중,"170,000원",문정동,2026-08-07,0,4,136,47.4℃,최고당근,생활가전,,"분해 세척해서 매우 깨끗하구요 
밧데리는 40분 정도 동작됩니다
네고없이 구매할 분만 메시지 주세요",170000
청소기,다이슨 청소기,다이슨 V10 무선청소기,거래중,"150,000원",문정1동,2026-08-29,0,4,402,51.2℃,챔프,생활가전,,"다이슨 V10 무선청소기입니다
깔끔한 디자인으로 인테리어 효과도 있어요
강력한 흡입력으로 먼지 걱정 끝
청소 시간이 즐거워질 거예요
모터  새로 교환 받아서 거의 새거에요
기본툴  배터리도 양호합니다
툴은 사진에 보이는것은 두세트이어서 다드리는거는 아니고 기본 소프트롤러 카펫 침구 에 기본 툴 드립니다 거치대 포함 구입하시면 청소해서 드립니다",150000
청소기,다이슨 청소기,다이슨무선청소기 V10 sv12 풀세트로 팔아요. 배터리 1시간 작동합니다.,거래중,"140,000원",오금동,2026-08-30,0,1,51,71.9℃,까미,생활가전,,"정상 작동 합니다.

흡입력 상당히 강합니다.
냄새없구요.

사진 먼저 확인 부탁드립니다. 

배터리도 1단에서 1시간1분 작동 합니다.
이 시간이면 넓은집 한번에 청소끝.
1단도 흡입력 셉니다.
2~3단은 모터에 무리를 많이 주기 때문에  잠깐 씩만 사용 권장 합니다.

본체 금간곳 깨진곳 없이 얌전히 잘 사용했어요.

에어 콤프로 먼지 깨끗히 청소했어요.
가져가셔서 바로 사용하시면 됩니다.

봉 거치하는 쪽 깨짐 있어요.
움직임없으면 잘 붙잡고 있네요.

거래는 집근처 거여초 근처에서 합니다.
오시기 어려우시면 제가 가드릴수 있어요. 
전번01054957956으로도 연락 많이 주세요.^^

감사합니다. ",140000
청소기,다이슨 청소기,다이슨 V10 무선 청소기,거래중,"150,000원",문정1동,2026-08-27,1,12,562,61℃,당근당근,생활가전,,"다이슨 V10 무선 청소기예요
흡입력 좋은 청소기 찾으시는 분들께 추천드려요
호환 배터리를 새것으로 교체해 두었어요
구성품은 사진에 보이는 것처럼 전부 드려요",150000
청소기,다이슨 청소기,다이슨 슬림 옵틱 청소기 판매,거래중,"300,000원",잠실6동,2026-08-27,1,9,70,41.7℃,라떼쭁,생활가전,,"26년05월 구매
3개월정도 사용했어요
가볍고 레이저 통해서 먼지 잘 보이고 좋아요
메인 툴 연결해서 사용했고 다른 툴은 미사용 상태입니다
거치대 포함 사진의 처음 구성품 그대로 드립니다",300000
청소기,다이슨 청소기,다이슨 V10 카본파이버 무선청소기,거래중,"180,000원",문정1동,2026-07-31,0,7,298,34.8℃,이웃집7,생활가전,,"다이슨 V10 카본파이버 무선청소기입니다
거치대 포함 구성으로 깔끔하게 보관 가능해요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
청소기 사용하시는 분들에게 정말 좋은 선택이 될 거예요",180000
청소기,다이슨 청소기,다이슨 V8 플러피 무선 청소기,거래중,"90,000원",문정동,2026-07-01,16,26,622,36.6℃,클로버,생활가전,,"다이슨 V8 플러피 무선 청소기입니다
다양한 구성품과 함께 제공되어 활용도가 높아요
사진에서 보이는 구성품 모두 포함되어 있고
거치대까지 모두 드리겠습니다!",90000
청소기,다이슨 청소기,다이슨 무선청소기 v10 (분해 세척완료),거래중,"220,000원",문정동,2026-07-31,0,1,206,47.4℃,최고당근,생활가전,,"분해세척해서 매우 깨끗하구요
밧데리는  20분이상 동작 됩니다 
거치대 같이 드립니다
네고 불가해요",220000
청소기,다이슨 청소기,다이슨 V7 무선 청소기,거래중,"62,000원",문정1동,2026-08-29,0,12,318,59℃,수평선,생활가전,,"다이슨 V7  무선 청소기예요
본체와 연장관, 충전기, 
사진에서 보이는 구성품 그대로 보내드려요
배터리 일반 18분가능합니다
깨끗하게 청소해놨습니다 ",62000
청소기,다이슨 청소기,다이슨 V11 무선 청소기 세트,거래중,"180,000원",잠실본동,2026-08-23,1,6,122,41.7℃,릴둥,생활가전,,,180000
청소기,다이슨 청소기,다이슨 DC45 animal 무선청소기 풀세트,거래중,"75,000원",문정1동,2026-08-27,0,9,267,43℃,Gray,생활가전,,"다이슨 DC45 animal 무선청소기입니다
다양한 구성품과 함께 제공되어 활용도가 높아요
부품으로 각각 팔기도 귀찮아서 사진에서 보이는 모든 구성품을 함께 싸게 드립니다
청소의 번거로움을 덜어줄 똑똑한 청소기를 찾으시는 분들께 추천드려요
모터 성능 좋고 이쁘게 써서 생활기스들은 있지만 부품들 상태도 전체적으로 좋습니다.
모든 부품들 다 최대한 깨끗하게 세척해두었습니다. 배터리가 몇분 버티지 못해 배터리를 갈아서 쓰려했다가 청소기 선물을 받아서 판매합니다.
배터리는 쿠팡에서 3만원대에 호환형 판매합니다.
여러가지 상품이 있으니 묶어서 택배 받고 싶으신 분은 채팅주세요.",75000
청소기,다이슨 청소기,다이슨 V6무선 청소기 (배터리팩 포함)강아지용으로쓴거 청소기냄새남,거래중,"40,000원",방이동,2026-08-25,1,1,111,43.8℃,쿠치,생활가전,,"다이슨 무선 청소기입니다. 배터리팩 포함되어 있으며, 사진에서 보시는 구성품 그대로 드려요. 강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요. 깔끔한 청소를 원하시는 분들께 추천드려요

(강아지털청소목적쓴거라 애견애묘인들이구매하시면좋을듯해서 세척해서쓰시면 냄새는좀덜하겠지만 예민하신분은구매피해주세여)",40000
청소기,다이슨 청소기,다이슨 V10 플러피 무선청소기(새배터리),거래중,"185,000원",문정1동,2026-08-30,0,3,96,94℃,PanaceaForUs,생활가전,,"다이슨 V10 플러피 무선청소기풀세트입니다
깨짐,큰긁힘등은 없고 깨끗하게 사용했고
생활흠집은 있으나 전체적으로 상태양호하고
호롼용 대용량  새배터리 입니다
전체 툴을  스탠드에 놓고 써서 편리하고 분실할 염려가 없습니다
사진처럼 전체를 셋팅하고 사용할수 있고
분리해서 별도 설치해서 사용도 가능합니다 사진에서 보시는 것처럼 모든 구성품을 확인하실 수 있어요
청소 효율을 높여줄 다양한 브러쉬와 액세서리가 함께 제공된답니다
분해해서 깨끗하게 소독 청소해서 바로 사용가능합니다 
자세히 보고 또 오셔서 직접 테스트후 
구매하세요 
기능상 하자가 있으면 환불 해드립니다.",185000
청소기,다이슨 청소기,다이슨 무선청소기 V8 앱솔루트,거래중,"120,000원",문정동,2026-08-09,1,2,95,37.1℃,메가커피,생활가전,,"다이슨 V8 앱솔루트 무선 청소기 팝니다.
해외판(해외직구판)이라 돼지코 끼고 사용했어요.
다른 걸로 넘어가서 팔아요. 다른 구성품은 아예 거의 사용 안 했고, 메인 헤드만 사용했어요.
배터리 새거로 교체했습니다.
1. 네고 불가
2. 지정된 장소에서만 
판매합니다.
연락주시면 작동 동영상도 보내드립니다.
",120000
청소기,다이슨 청소기,다이슨 V7 무선 청소기,거래중,"50,000원",문정1동,2026-08-30,0,6,480,82.1℃,바라미,생활가전,,"다이슨 V7 무선 청소기 본체입니다
사진에서 보이는 구성품 그대로 드려요
깔끔하게 관리된 제품으로 새것 같은 성능을 느껴보세요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
배터리30분정도사용",50000
청소기,다이슨 청소기,다이슨 V8 앱솔루트 무선 청소기,거래중,"45,000원",문정1동,2026-08-30,0,2,76,49.8℃,울산탱크,생활가전,,"다이슨 V8 앱솔루트 무선 청소기 판매해요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
사진에 보이는 구성품 그대로 드려요
자주 사용하지 않아 상태 좋아요
가벼워서 청소하기 편해요
충전기 거치대 제외
밧데리 포함
밧데리 교환해서 쓰세요
밧뎨리 리필해서. 쓸려다가
새제품 구매로 방출합니다
부품용 입니다
구매후 환불교환안됩니다
",45000
청소기,다이슨 청소기,다이슨 사이클론 V10 Absolute 무선청소기 송파,거래중,"190,000원",삼전동,2026-08-19,0,14,423,99℃,caillou,생활가전,,,190000
청소기,다이슨 청소기,다이슨 V10 앱솔루트 무선청소기 풀세트,거래중,"145,000원",문정1동,2026-08-24,1,17,389,69.3℃,보리수,생활가전,,"다이슨 V10 앱솔루트 무선청소기 풀세트 판매해요

배터리 사용시간도 충분해요

사진에 보이는 구성품 모두 포함되어 있어요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요

먼지 날림 없이 깔끔하게 청소하고 싶으신 분들께 추천드려요",145000
