카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명,가격원
청소기,다이슨 청소기,다이슨 청소기 충전기+거치대,거래중,"20,000원",여의도동,2026-08-09,1,6,969,75.7℃,gotojfk,생활가전,9호선 양천향교역 인근 직거래합니다,"다이슨 무선 청소기 충전기와 거치대입니다.
국내 정발 220v 버전입니다

9호선 양천향교역 인근 직거래합니다",20000
청소기,다이슨 청소기,다이슨 청소기 장난감,예약중,"10,000원",양평제1동,2026-08-30,0,0,8,49.7℃,더당그너,유아동,직거래는 평일 8시 이후 가능,"아이들이 좋아하는 다이슨 청소기 장난감이에요
실제 청소기처럼 작동하는 재미있는 장난감으로
청소 놀이를 즐길 수 있어요

박스 있습니다.
부품다 있고 고장난데 없습니다.

워킹맘으로 시간맞추기 어려워요
직거래는 평일 8시 이후 가능
문고리 거래 가능
반값택배 가능",10000
청소기,다이슨 청소기,다이슨 V6 무선 청소기,거래중,"15,000원",당산제1동,2026-08-30,1,1,212,71.3℃,백프로,생활가전,직거래,"다이슨 V6 무선 청소기 판매해요
사진에 보이는 구성품 그대로 드려요
깔끔한 디자인으로 인테리어 효과도 있어요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요

일부 파손 되기도 하고 배터리가 1년전에 갈아끼운거라 풀충전은 안됩니다.

봉도 없습니다 보이는 구성이 전부입니다. 스탠드 포함.",15000
청소기,다이슨 청소기,[분해청소 살균완료 ]신형 레이저 다이슨 마이크로 1.5Kg 초경량 무선청소기 니켈 ( SV21) 바로구매가능,거래중,"248,000원",양평제1동,2026-08-28,0,1,68,53.9℃,당근은당근당근,생활가전,목동 5단지 B상가,"다이슨 V7 플러피 플러스 무선청소기입니다
사진에서 보이는 구성품 거치대까지 포함해서 
그대로 드려요. 
고장난 곳 없고 사용감있고 배터리는 한번 교체해놨습니다.
거치대 그대로 드리기 때문에 문고리 거래만 가능해요",248000
청소기,다이슨 청소기,다이슨 V8 무선 청소기 (배터리방전),거래완료,"20,000원",도림동,2026-08-30,4,4,117,53.4℃,mio,생활가전,직거래 목동 현대백화점 근처입니다.,"다이슨 V6 무선청소기입니다
모터 이상없고 
배터리는 호환bms교체했었구요
먼지통 클립이깨져 보수해놨는데 사용은가능합니다
봉은 없고 헤드는 작동합니다

호환어댑터필요하시면 만원더주시면됩니다

봉없이 흡입력은좋아서 짧게쓰는용도로좋지만
연식있다보니 부품용으로 쓰시면좋갰네요",20000
청소기,다이슨 청소기,다이슨 스팟앤스크럽 Ai 로봇청소기 미개봉 당산동4가,거래중,"900,000원",영등포동,2026-08-30,0,1,15,41.3℃,소소한공감,생활가전,직거래는 영등포동3가 20번지 용용선생앞입니다,"다이슨 스팟앤스크럽 Ai 로봇청소기 미개봉 새상품이에요
사진에서 보시는 것처럼 구성품 모두 그대로 담겨있어요

■ 제품 정보
- 모델명 : 다이슨 스팟앤스크럽 Ai (144385-01 / RB05-A, 블랙+블루)
- 무상 AS 기간 : 등록 후 2년
- 종류 : 올인원 로봇청소기 (흡입 + 물걸레)
- 흡입력 : 18,000Pa
- 물걸레 : 롤러형, 60℃ 온수 세척, 실시간 물걸레 세척, 물걸레확장암
- 스테이션 : 먼지비움, 걸레세척(온수), 걸레건조(온풍), 세제투입,
             스테이션 자가청소, 자동급수, 자동충전
- 인식 : LDS+카메라 센서, 2D·3D 맵핑, AI 사물인식, 오염도 감지, 장애물 회피
- 주행 : 문턱넘기 2cm / 통과높이 11cm
- 크기 : 청소기 373x110x370mm / 스테이션 440x508x455mm
- 무게 : 6.6kg",900000
청소기,다이슨 청소기,다이슨 V15 디텍트 컴플리트 무선청소기,거래중,"400,000원",양평제2동,2026-08-30,0,5,34,62.5℃,OO,생활가전,직거래는 영등포동3가20번지 용용선생 앞입니다,"다이슨 V15 디텍트 컴플리트 무선청소기예요
레이저 슬림 플러피 브러시로 바닥 먼지를 놓치지 않고 청소할 수 있어요
LCD 스크린으로 흡입된 먼지 입자를 실시간으로 확인할 수 있답니다
다양한 구성품으로 집안 곳곳 깨끗하게 관리해보세요
사용설명서 있습니다.
헤파필터 새것 추가로 드립니다.
트리거 고정스위치 구매해서 장착돼 있습니다.
애완동물, 흡연자 없는 환경에서 사용.
일반모드로 80분, 자동모드 40분, 부스트 14분이상
사용가능합니다.
2023년 구매제품이며, 
로봇청소기를 주로 사용.
이건 보조로 가끔 사용했기땜에 상태 매우 좋습니다.
살균탈취 청소해놔서 바로 사용하시면 됩니다.

내고에는 답장하지 않습니다.

출퇴근 경로 또는 댁이 발산역 근처면 갖다 드릴수 있습니다.
",400000
청소기,다이슨 청소기,다이슨 청소기 거치대,거래중,"8,000원",여의동,2026-08-17,2,5,157,41.7℃,고양이노래,생활가전,신도림,"깔끔한 청소를 도와줄 다이슨 V8 앱솔루트 무선 청소기예요
32평 집 청소하고도 배터리가 넉넉하게 남는답니다
당근 특성상 반품 불가이니 신중히 결정하시고 문자주세요",8000
청소기,다이슨 청소기,다이슨 볼 유선 카본 청소기,예약중,"60,000원",여의도동,2026-08-29,2,6,236,81.2℃,즐거운하루,생활가전,매머드커피 익스프레스 kbs본점,"다이슨 V8 Fluffy Pro 무선 청소기입니다

- 다양한 노즐을 포함하고 있습니다
- 2.6kg의 가벼운 무게로 사용이 편리합니다
- 싸이클론 기술로 강력한 흡입력을 자랑합니다
- 무선 방식이라 집안 어디든 자유롭게 청소할 수 있습니다

생활 스크래치는 존재합니다
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
사진에 구성품 그대로 입니다.
작동 이상없이 잘되고 정품
베터리 방전으로 호확 베터리
교체해서 한두달 쓴듯합니다.

큰  롤러는 너무 오염이 심해서 
그냥 버렸고요 남은 것들 사진
에 있는 그대로 드립니다.
반품.교환 안되오니 가볍게 
사용하실분 비대면 문고리
와주세요^^

관악구 신림로3길40 건영3차아파트 6동",60000
청소기,다이슨 청소기,다이슨 V6무선청소기 부품용 및 청소툴거치대 포함,예약중,"25,000원",도림동,2026-08-28,2,5,223,59.6℃,AMIZINGA,생활가전,대림3동파출소,"다이슨 V6무선청소기입니다
거치대와 충전기 다양한 구성품 포함되어 있어요.
청소기는 작동되지만 본체 연결부부분이 떨어졌고 배터리강력모드에서는 꺼져요.
기타청소툴은 거의 미사용이몇거치대가격받고 판매해요
필요하신분 연락주세요",25000
