번호,사업장명,소재지전체주소,도로명전체주소,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,복지시설종류,복지시설종류명,위치정보(X),위치정보(Y),인허가번호,상세영업상태명
1,이든아이빌,서울특별시 성동구 왕십리로 21라길 11,,19501213,운영중,,,,,,,,아동양육시설,,,,운영
2,서울성로원,서울특별시 동작구 만양로 60,,19620723,운영중,,,,,,,,아동양육시설,,,,운영
3,남산원,서울특별시 중구 소파로2길 31,,19520401,운영중,,,,,,,,아동양육시설,,,,운영
4,리라아동복지관,경기도 안성시 원곡면 용소길 65,,19520520,운영중,,,,,,,,아동양육시설,,,,운영
5,영락보린원,서울특별시 용산구 후암로 4길 70,,19390530,운영중,,,,,,,,아동양육시설,,,,운영
6,혜심원,서울특별시 용산구 소월로 2나길 18,,19451001,운영중,,,,,,,,아동양육시설,,,,운영
7,성애원,경기도 이천시 구만리로 314,,19450913,운영중,,,,,,,,아동양육시설,,,,운영
8,애향아동복지원,경상북도 김천시 어모면 용문산길551-25,,19570918,운영중,,,,,,,,아동양육시설,,,,운영
9,성모자애드림힐,서울특별시 노원구 덕릉로 70가길 45,,19620616,운영중,,,,,,,,아동양육시설,,,,운영
10,은평천사원,서울특별시 은평구 갈현로 11길 30,,19590308,운영중,,,,,,,,아동양육시설,,,,운영
11,선덕원,서울특별시 종로구 세검정로 7가길 15-141,,19651013,운영중,,,,,,,,아동양육시설,,,,운영
12,송죽원,서울특별시 서대문구 송죽길 23,,19571020,운영중,,,,,,,,아동양육시설,,,,운영
13,구세군서울후생원,서울특별시 서대문구 독립문로 8길 41,,19181231,운영중,,,,,,,,아동양육시설,,,,운영
14,삼동보이스타운,서울특별시 마포구 가양대로 124,,19530708,운영중,,,,,,,,아동양육시설,,,,운영
15,서울SOS어린이마을,서울특별시 양천구 가로공원로 58길 46,,19820426,운영중,,,,,,,,아동양육시설,,,,운영
16,그레이스 빌,경기도 아산시 배방읍 갈매길 159-4,,19770128,운영중,,,,,,,,아동양육시설,,,,운영
17,엘림새싹누리,충청남도 서산시 쌍연북3길 33,,19610411,운영중,,,,,,,,아동양육시설,,,,운영
18,지온보육원,서울특별시 강서구 금낭화로26가길 120,,19820122,운영중,,,,,,,,아동양육시설,,,,운영
19,에델마을,서울특별시 구로구 천왕로 47,,19490809,운영중,,,,,,,,아동양육시설,,,,운영
20,오류마을,서울특별시 구로구 오류로 8길 84,,19510421,운영중,,,,,,,,아동양육시설,,,,운영
21,혜명메이빌,서울특별시 금천구  탑골로 35,,19580901,운영중,,,,,,,,아동양육시설,,,,운영
22,신명아이마루,경기도 화성시 기배로 43번길 26,,19610629,운영중,,,,,,,,아동양육시설,,,,운영
23,청운보육원,서울특별시 동작구 국사봉1길 145,,19601101,운영중,,,,,,,,아동양육시설,,,,운영
24,신망원,경기도 양평군 양서면 신원1길 142,,19521012,운영중,,,,,,,,아동양육시설,,,,운영
25,시온원,서울특별시 동작구 상도로 39길 48,,19530815,운영중,,,,,,,,아동양육시설,,,,운영
26,상록보육원,서울특별시 관악구 남현길 63,,19591001,운영중,,,,,,,,아동양육시설,,,,운영
27,동명아동복지센터,서울특별시 관악구 봉천로 23라길 15,,19500505,운영중,,,,,,,,아동양육시설,,,,운영
28,성심원,경기도 용인시 수지구고기로45번길 40-11,,19470710,운영중,,,,,,,,아동양육시설,,,,운영
29,강남드림빌,서울특별시 강남구 양재대로 344-27,,19521224,운영중,,,,,,,,아동양육시설,,,,운영
30,강동꿈마을,서울특별시 강동구 천호대로 186길 21,,19570902,운영중,,,,,,,,아동양육시설,,,,운영
31,명진들꽃사랑마을,서울특별시 강동구 구천면로 68길 46,,19280128,운영중,,,,,,,,아동양육시설,,,,운영
32,꿈나무마을 초록꿈터,서울특별시 은평구 백련산로 14길 20-11,,19750101,운영중,,,,,,,,아동양육시설,,,,운영
33,꿈나무마을 파란꿈터,서울특별시 은평구 백련산로 14길 20-11,,19750101,운영중,,,,,,,,아동양육시설,,,,운영
34,데레사의 집,서울특별시 은평구 응암로21길 11-20,,20060208,운영중,,,,,,,,아동양육시설,,,,운영
35,돈보스코오라트리오,서울특별시 영등포구 여의대방로 65,,19930319,운영중,,,,,,,,아동보호치료시설,,,,운영
36,마자렐로센터,서울특별시 영등포구 신길로 93,,20051013,운영중,,,,,,,,아동보호치료시설,,,,운영
37,살레시오청소년센터,서울특별시 영등포구 디지털로 424,,19791208,운영중,,,,,,,,아동보호치료시설,,,,운영
38,청운자립생활관,서울특별시 동작구 국사봉1길 145,,19890501,운영중,,,,,,,,아동자립시설,,,,운영
39,상록자립생활관,서울특별시 관악구 남현길 63,,19970517,운영중,,,,,,,,아동자립시설,,,,운영
40,돈보스코자립생활관,서울특별시 영등포구 여의대방로 65,,19980422,운영중,,,,,,,,아동자립시설,,,,운영
41,우인,서울특별시 영등포구 양평로12가길 8,,20250324,운영중,,,,,,,,아동자립시설,,,,운영
42,아동힐링센터,서울특별시 동대문구 답십리로 69길 106,,19880413,운영중,,,,,,,,아동보호치료시설,,,,운영
43,아동푸른센터,서울특별시 은평구 백련산로 14길 20-11,,20180501,운영중,,,,,,,,아동일시보호시설,,,,운영
