카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명
분유포트,브레짜 분유포트,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,거래중,"180,000원",명륜1동,2026-08-23,0,1,0,36.5℃,번개장터판매자,유아동,강원특별자치도 원주시 명륜1동,[출처] 번개장터 | [분석모델] FORMULA_PRO_ADVANCED | [모델근거] text_variant | [원문링크] https://m.bunjang.co.kr/products/425317295
분유포트,브레짜 분유포트,베이비브레짜 포뮬러 프로 어드밴스 분유제조기(국내정발),거래중,"120,000원",회천2동,2026-08-11,0,0,0,36.5℃,번개장터판매자,유아동,경기도 양주시 회천2동,[출처] 번개장터 | [분석모델] FORMULA_PRO_ADVANCED | [모델근거] text_variant | [원문링크] https://m.bunjang.co.kr/products/423923400
분유포트,브레짜 분유포트,베이비브레짜 판매합니다,거래중,"105,000원",효동,2026-08-08,0,0,0,36.5℃,번개장터판매자,유아동,대전광역시 동구 효동,[출처] 번개장터 | [분석모델] 제품군 공통 | [모델근거] product_group | [원문설명] 5개월정도 사용했고 아기 새벽수유 끝나서 판매합니다 세척까지 모두 완료했어요~ 풀박스에요! | [원문링크] https://m.bunjang.co.kr/products/423543242
분유포트,브레짜 분유포트,무배/새상품급 베이비브레짜 Formula Pro Advanced 분유제조기 BRZFRP-1A,거래중,"220,000원",비전1동,2026-08-06,0,0,0,36.5℃,번개장터판매자,유아동,경기도 평택시 비전1동,[출처] 번개장터 | [분석모델] BRZFRP-1A | [모델근거] text_code | [원문링크] https://m.bunjang.co.kr/products/423296069
분유포트,브레짜 분유포트,베이비브레짜 Formula Pro Advanced 자동분유제조기(완전미개봉),거래중,"220,000원",북면,2026-07-28,0,0,0,36.5℃,번개장터판매자,유아동,경상남도 창원시 의창구 북면,[출처] 번개장터 | [분석모델] FORMULA_PRO_ADVANCED | [모델근거] text_variant | [원문링크] https://m.bunjang.co.kr/products/422193500
분유포트,브레짜 분유포트,베이비브레짜 분유제조기 미개봉 새상품,거래중,"200,000원",,2026-07-24,0,4,0,36.5℃,번개장터판매자,유아동,,[출처] 번개장터 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://m.bunjang.co.kr/products/410822830
분유포트,브레짜 분유포트,무배/바배 베이비브레짜 자동분유제조기 신형 (BRZFRP-1A),거래중,"220,000원",비전1동,2026-07-24,0,0,0,36.5℃,번개장터판매자,유아동,경기도 평택시 비전1동,[출처] 번개장터 | [분석모델] BRZFRP-1A | [모델근거] text_code | [원문링크] https://m.bunjang.co.kr/products/421715486
분유포트,브레짜 분유포트,브레짜 자동 분유 제조기,예약중,"45,000원",,2026-07-22,0,0,0,36.5℃,번개장터판매자,유아동,,[출처] 번개장터 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://m.bunjang.co.kr/products/421450966
분유포트,브레짜 분유포트,베이비브레짜 신형 자동 분유제조기 BRZFRP-1A,거래중,"94,000원",,2026-07-18,0,1,0,36.5℃,번개장터판매자,유아동,,[출처] 번개장터 | [분석모델] BRZFRP-1A | [모델근거] text_code | [원문링크] https://m.bunjang.co.kr/products/420529965
분유포트,브레짜 분유포트,베이비브레짜 분유제조기 + 유팡소득기,거래중,"140,000원",세류1동,2026-07-11,0,1,0,36.5℃,번개장터판매자,유아동,경기도 수원시 권선구 세류1동,[출처] 번개장터 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://m.bunjang.co.kr/products/419250379
