카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명
분유포트,브레짜 분유포트,26년 구입) 브레짜 분유제조기 #분유제조기 #금토일만 16만원,거래중,"170,000원",,2026-08-26,0,0,0,36.5℃,중고나라판매자,유아동,,[출처] 중고나라 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://web.joongna.com/product/231672145
분유포트,브레짜 분유포트,베이비브레짜 분유제조기+깔때기3개 <미개봉새제품>,거래중,"250,000원",,2026-08-10,0,0,0,36.5℃,중고나라판매자,유아동,,[출처] 중고나라 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://web.joongna.com/product/231226455
분유포트,브레짜 분유포트,베이비브레짜 분유제조기 새상품 미개봉 택포,거래완료,"180,000원",동탄7동,2026-08-07,0,0,0,36.5℃,중고나라판매자,유아동,동탄7동,[출처] 중고나라 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://web.joongna.com/product/231107910
분유포트,브레짜 분유포트,베이비브레짜 분유제조기 화이트,거래중,"99,000원",화순읍,2026-07-21,0,0,0,36.5℃,중고나라판매자,유아동,화순읍,[출처] 중고나라 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://web.joongna.com/product/214321101
분유포트,브레짜 분유포트,베이비브레짜 분유제조기,거래중,"220,000원",,2026-07-21,0,0,0,36.5℃,중고나라판매자,유아동,,[출처] 중고나라 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://web.joongna.com/product/230490991
분유포트,브레짜 분유포트,베이비브레짜 분유제조기 화이트,거래중,"150,000원",운정1동,2026-07-15,0,0,0,36.5℃,중고나라판매자,유아동,운정1동,[출처] 중고나라 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://web.joongna.com/product/230642442
분유포트,브레짜 분유포트,브레짜 자동 분유제조기,거래중,"180,000원",수송동,2026-07-15,0,0,0,36.5℃,중고나라판매자,유아동,수송동,[출처] 중고나라 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://web.joongna.com/product/229635363
분유포트,브레짜 분유포트,베이비브레짜 분유제조기 2026년 6월 신상품,거래완료,"150,000원",상현1동,2026-07-11,0,0,0,36.5℃,중고나라판매자,유아동,상현1동,[출처] 중고나라 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://web.joongna.com/product/230506706
분유포트,브레짜 분유포트,베이비브레짜 분유제조기 팝니다,거래완료,"69,000원",황학동,2026-07-07,0,0,0,36.5℃,중고나라판매자,유아동,황학동,[출처] 중고나라 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://web.joongna.com/product/229530683
분유포트,브레짜 분유포트,분유제조기 베이비 브레짜 미개봉,거래완료,"200,000원",반월동,2026-07-06,0,0,0,36.5℃,중고나라판매자,유아동,반월동,[출처] 중고나라 | [분석모델] FORMULA_PRO | [모델근거] text_variant | [원문링크] https://web.joongna.com/product/230349691
